wl,n
0.465,0.86899
0.466,0.86420
0.467,0.85947
0.468,0.85479
0.469,0.85016
0.470,0.84558
0.471,0.84105
0.472,0.83658
0.473,0.83215
0.474,0.82779
0.475,0.82347
0.476,0.81922
0.477,0.81501
0.478,0.81086
0.479,0.80677
0.480,0.80272
0.481,0.79872
0.482,0.79477
0.483,0.79087
0.484,0.78701
0.485,0.78319
0.486,0.77942
0.487,0.77568
0.488,0.77198
0.489,0.76833
0.490,0.76470
0.491,0.76112
0.492,0.75757
0.493,0.75405
0.494,0.75056
0.495,0.74711
0.496,0.74369
0.497,0.74029
0.498,0.73693
0.499,0.73359
0.500,0.73028
0.501,0.72699
0.502,0.72373
0.503,0.72050
0.504,0.71729
0.505,0.71410
0.506,0.71093
0.507,0.70779
0.508,0.70467
0.509,0.70156
0.510,0.69848
0.511,0.69541
0.512,0.69237
0.513,0.68934
0.514,0.68633
0.515,0.68333
0.516,0.68036
0.517,0.67739
0.518,0.67445
0.519,0.67151
0.520,0.66859
0.521,0.66569
0.522,0.66280
0.523,0.65992
0.524,0.65705
0.525,0.65419
0.526,0.65135
0.527,0.64852
0.528,0.64569
0.529,0.64288
0.530,0.64008
0.531,0.63729
0.532,0.63450
0.533,0.63173
0.534,0.62896
0.535,0.62620
0.536,0.62345
0.537,0.62071
0.538,0.61798
0.539,0.61525
0.540,0.61253
0.541,0.60982
0.542,0.60712
0.543,0.60443
0.544,0.60175
0.545,0.59908
0.546,0.59642
0.547,0.59377
0.548,0.59114
0.549,0.58853
0.550,0.58593
0.551,0.58334
0.552,0.58077
0.553,0.57822
0.554,0.57568
0.555,0.57317
0.556,0.57067
0.557,0.56819
0.558,0.56573
0.559,0.56329
0.560,0.56087
0.561,0.55848
0.562,0.55610
0.563,0.55374
0.564,0.55141
0.565,0.54910
0.566,0.54682
0.567,0.54455
0.568,0.54232
0.569,0.54010
0.570,0.53791
0.571,0.53575
0.572,0.53361
0.573,0.53149
0.574,0.52940
0.575,0.52734
0.576,0.52531
0.577,0.52330
0.578,0.52132
0.579,0.51936
0.580,0.51744
0.581,0.51554
0.582,0.51367
0.583,0.51183
0.584,0.51001
0.585,0.50823
0.586,0.50647
0.587,0.50475
0.588,0.50305
0.589,0.50138
0.590,0.49975
0.591,0.49814
0.592,0.49656
0.593,0.49502
0.594,0.49350
0.595,0.49202
0.596,0.49056
0.597,0.48914
0.598,0.48775
0.599,0.48639
0.600,0.48506
0.601,0.48376
0.602,0.48250
0.603,0.48126
0.604,0.48006
0.605,0.47889
0.606,0.47775
0.607,0.47665
0.608,0.47557
0.609,0.47453
0.610,0.47352
0.611,0.47255
0.612,0.47161
0.613,0.47069
0.614,0.46982
0.615,0.46897
0.616,0.46816
0.617,0.46738
0.618,0.46663
0.619,0.46591
0.620,0.46523
0.621,0.46458
0.622,0.46396
0.623,0.46338
0.624,0.46282
0.625,0.46229
0.626,0.46180
0.627,0.46133
0.628,0.46089
0.629,0.46047
0.630,0.46008
0.631,0.45972
0.632,0.45938
0.633,0.45907
0.634,0.45878
0.635,0.45852
0.636,0.45828
0.637,0.45806
0.638,0.45786
0.639,0.45768
0.640,0.45752
0.641,0.45739
0.642,0.45727
0.643,0.45717
0.644,0.45709
0.645,0.45703
0.646,0.45699
0.647,0.45696
0.648,0.45695
0.649,0.45696
0.650,0.45698
0.651,0.45701
0.652,0.45706
0.653,0.45713
0.654,0.45721
0.655,0.45730
0.656,0.45741
0.657,0.45753
0.658,0.45766
0.659,0.45780
0.660,0.45796
0.661,0.45812
0.662,0.45830
0.663,0.45849
0.664,0.45868
0.665,0.45889
0.666,0.45910
0.667,0.45933
0.668,0.45956
0.669,0.45980
0.670,0.46005
0.671,0.46031
0.672,0.46057
0.673,0.46084
0.674,0.46112
0.675,0.46140
0.676,0.46169
0.677,0.46199
0.678,0.46229
0.679,0.46260
0.680,0.46291
0.681,0.46322
0.682,0.46354
0.683,0.46387
0.684,0.46419
0.685,0.46452
0.686,0.46486
0.687,0.46520
0.688,0.46554
0.689,0.46588
0.690,0.46622
0.691,0.46657
0.692,0.46692
0.693,0.46727
